observed,predicted
38598462.14,34496111.19
7533183.34,12574886.9
8852421.56,13812697.64
17951869.10,15872522.04
24936750.98,25923047.44
3948396.40,2304177.741
40465423.84,35342853.62
7115718.23,15222142.87
11118185.81,2251091.331
6661938.07,4839034.788
26919647.08,30198176.36
7874950.81,7719487.031
5232304.47,6653022.613
